0001ADB0	Fists
00F473B2	Simple Warden Twinblades+2
00F473B3	Simple Warden Twinblades+3
00F473B4	Simple Warden Twinblades+4
00F473B5	Simple Warden Twinblades+5
00F473B6	Simple Warden Twinblades+6
00F473B7	Simple Warden Twinblades+7
00F473B8	Simple Warden Twinblades+8
00F473B9	Simple Warden Twinblades+9
00F473BA	Simple Warden Twinblades+10
00F47414	Crystal Warden Twinblades
00F47415	Crystal Warden Twinblades+1
00F47416	Crystal Warden Twinblades+2
00F47417	Crystal Warden Twinblades+3
00F47418	Crystal Warden Twinblades+4
00F47419	Crystal Warden Twinblades+5
00F4741A	Crystal Warden Twinblades+6
00F4741B	Crystal Warden Twinblades+7
00F4741C	Crystal Warden Twinblades+8
00F4741D	Crystal Warden Twinblades+9
00F4741E	Crystal Warden Twinblades+10
00F47478	Fire Warden Twinblades
00F47479	Fire Warden Twinblades+1
00F4747A	Fire Warden Twinblades+2
00F4747B	Fire Warden Twinblades+3
00F4747C	Fire Warden Twinblades+4
00F4747D	Fire Warden Twinblades+5
00F4747E	Fire Warden Twinblades+6
00F4747F	Fire Warden Twinblades+7
00F47480	Fire Warden Twinblades+8
00F47481	Fire Warden Twinblades+9
00F47482	Fire Warden Twinblades+10
00F474DC	Chaos Warden Twinblades
00F474DD	Chaos Warden Twinblades+1
00F474DE	Chaos Warden Twinblades+2
00F474DF	Chaos Warden Twinblades+3
00F474E0	Chaos Warden Twinblades+4
00F474E1	Chaos Warden Twinblades+5
00F474E2	Chaos Warden Twinblades+6
00F474E3	Chaos Warden Twinblades+7
00F474E4	Chaos Warden Twinblades+8
00F474E5	Chaos Warden Twinblades+9
00F474E6	Chaos Warden Twinblades+10
00F47540	Lightning Warden Twinblades
00F47541	Lightning Warden Twinblades+1
00F47542	Lightning Warden Twinblades+2
00F47543	Lightning Warden Twinblades+3
00F47544	Lightning Warden Twinblades+4
00F47545	Lightning Warden Twinblades+5
00F47546	Lightning Warden Twinblades+6
00F47547	Lightning Warden Twinblades+7
00F47548	Lightning Warden Twinblades+8
00F47549	Lightning Warden Twinblades+9
00F4754A	Lightning Warden Twinblades+10
00F475A4	Deep Warden Twinblades
00F475A5	Deep Warden Twinblades+1
00F475A6	Deep Warden Twinblades+2
00F475A7	Deep Warden Twinblades+3
00F475A8	Deep Warden Twinblades+4
00F475A9	Deep Warden Twinblades+5
00F475AA	Deep Warden Twinblades+6
00F475AB	Deep Warden Twinblades+7
00F475AC	Deep Warden Twinblades+8
00F475AD	Deep Warden Twinblades+9
00F475AE	Deep Warden Twinblades+10
00F47608	Dark Warden Twinblades
00F47609	Dark Warden Twinblades+1
00F4760A	Dark Warden Twinblades+2
00F4760B	Dark Warden Twinblades+3
00F4760C	Dark Warden Twinblades+4
00F4760D	Dark Warden Twinblades+5
00F4760E	Dark Warden Twinblades+6
00F4760F	Dark Warden Twinblades+7
00F47610	Dark Warden Twinblades+8
00F47611	Dark Warden Twinblades+9
00F47612	Dark Warden Twinblades+10
00F4766C	Poison Warden Twinblades
00F4766D	Poison Warden Twinblades+1
00F4766E	Poison Warden Twinblades+2
00F4766F	Poison Warden Twinblades+3
00F47670	Poison Warden Twinblades+4
00F47671	Poison Warden Twinblades+5
00F47672	Poison Warden Twinblades+6
00F47673	Poison Warden Twinblades+7
00F47674	Poison Warden Twinblades+8
00F47675	Poison Warden Twinblades+9
00F47676	Poison Warden Twinblades+10
00F476D0	Blood Warden Twinblades
00F476D1	Blood Warden Twinblades+1
00F476D2	Blood Warden Twinblades+2
00F476D3	Blood Warden Twinblades+3
00F476D4	Blood Warden Twinblades+4
00F476D5	Blood Warden Twinblades+5
00F476D6	Blood Warden Twinblades+6
00F476D7	Blood Warden Twinblades+7
00F476D8	Blood Warden Twinblades+8
00F476D9	Blood Warden Twinblades+9
00F476DA	Blood Warden Twinblades+10
00F47734	Raw Warden Twinblades
00F47735	Raw Warden Twinblades+1
00F47736	Raw Warden Twinblades+2
00F47737	Raw Warden Twinblades+3
00F47738	Raw Warden Twinblades+4
00F47739	Raw Warden Twinblades+5
00F4773A	Raw Warden Twinblades+6
00F4773B	Raw Warden Twinblades+7
00F4773C	Raw Warden Twinblades+8
00F4773D	Raw Warden Twinblades+9
00F4773E	Raw Warden Twinblades+10
00F47798	Blessed Warden Twinblades
00F47799	Blessed Warden Twinblades+1
00F4779A	Blessed Warden Twinblades+2
00F4779B	Blessed Warden Twinblades+3
00F4779C	Blessed Warden Twinblades+4
00F4779D	Blessed Warden Twinblades+5
00F4779E	Blessed Warden Twinblades+6
00F4779F	Blessed Warden Twinblades+7
00F477A0	Blessed Warden Twinblades+8
00F477A1	Blessed Warden Twinblades+9
00F477A2	Blessed Warden Twinblades+10
00F477FC	Hollow Warden Twinblades
00F477FD	Hollow Warden Twinblades+1
00F477FE	Hollow Warden Twinblades+2
00F477FF	Hollow Warden Twinblades+3
00F47800	Hollow Warden Twinblades+4
00F47801	Hollow Warden Twinblades+5
00F47802	Hollow Warden Twinblades+6
00F47803	Hollow Warden Twinblades+7
00F47804	Hollow Warden Twinblades+8
00F47805	Hollow Warden Twinblades+9
00F47806	Hollow Warden Twinblades+10
00F49930	Winged Knight Twinaxes
00F49931	Winged Knight Twinaxes+1
00F49932	Winged Knight Twinaxes+2
00F49933	Winged Knight Twinaxes+3
00F49934	Winged Knight Twinaxes+4
00F49935	Winged Knight Twinaxes+5
00F49936	Winged Knight Twinaxes+6
00F49937	Winged Knight Twinaxes+7
00F49938	Winged Knight Twinaxes+8
00F49939	Winged Knight Twinaxes+9
00F4993A	Winged Knight Twinaxes+10
00F49994	Heavy Winged Knight Twinaxes
00F49995	Heavy Winged Knight Twinaxes+1
00F49996	Heavy Winged Knight Twinaxes+2
00F49997	Heavy Winged Knight Twinaxes+3
00F49998	Heavy Winged Knight Twinaxes+4
00F49999	Heavy Winged Knight Twinaxes+5
00F4999A	Heavy Winged Knight Twinaxes+6
00F4999B	Heavy Winged Knight Twinaxes+7
00F4999C	Heavy Winged Knight Twinaxes+8
00F4999D	Heavy Winged Knight Twinaxes+9
00F4999E	Heavy Winged Knight Twinaxes+10
00F499F8	Sharp Winged Knight Twinaxes
00F499F9	Sharp Winged Knight Twinaxes+1
00F499FA	Sharp Winged Knight Twinaxes+2
00F499FB	Sharp Winged Knight Twinaxes+3
00F499FC	Sharp Winged Knight Twinaxes+4
00F499FD	Sharp Winged Knight Twinaxes+5
00F499FE	Sharp Winged Knight Twinaxes+6
00F499FF	Sharp Winged Knight Twinaxes+7
00F49A00	Sharp Winged Knight Twinaxes+8
00F49A01	Sharp Winged Knight Twinaxes+9
00F49A02	Sharp Winged Knight Twinaxes+10
00F49A5C	Refined Winged Knight Twinaxes
00F49A5D	Refined Winged Knight Twinaxes+1
00F49A5E	Refined Winged Knight Twinaxes+2
00F49A5F	Refined Winged Knight Twinaxes+3
00F49A60	Refined Winged Knight Twinaxes+4
00F49A61	Refined Winged Knight Twinaxes+5
00F49A62	Refined Winged Knight Twinaxes+6
00F49A63	Refined Winged Knight Twinaxes+7
00F49A64	Refined Winged Knight Twinaxes+8
00F49A65	Refined Winged Knight Twinaxes+9
00F49A66	Refined Winged Knight Twinaxes+10
00F49AC0	Simple Winged Knight Twinaxes
00F49AC1	Simple Winged Knight Twinaxes+1
00F49AC2	Simple Winged Knight Twinaxes+2
00F49AC3	Simple Winged Knight Twinaxes+3
00F49AC4	Simple Winged Knight Twinaxes+4
00F49AC5	Simple Winged Knight Twinaxes+5
00F49AC6	Simple Winged Knight Twinaxes+6
00F49AC7	Simple Winged Knight Twinaxes+7
00F49AC8	Simple Winged Knight Twinaxes+8
00F49AC9	Simple Winged Knight Twinaxes+9
00F49ACA	Simple Winged Knight Twinaxes+10
00F49B24	Crystal Winged Knight Twinaxes
00F49B25	Crystal Winged Knight Twinaxes+1
00F49B26	Crystal Winged Knight Twinaxes+2
00F49B27	Crystal Winged Knight Twinaxes+3
00F49B28	Crystal Winged Knight Twinaxes+4
00F49B29	Crystal Winged Knight Twinaxes+5
00F49B2A	Crystal Winged Knight Twinaxes+6
00F49B2B	Crystal Winged Knight Twinaxes+7
00F49B2C	Crystal Winged Knight Twinaxes+8
00F49B2D	Crystal Winged Knight Twinaxes+9
00F49B2E	Crystal Winged Knight Twinaxes+10
00F49B88	Fire Winged Knight Twinaxes
00F49B89	Fire Winged Knight Twinaxes+1
00F49B8A	Fire Winged Knight Twinaxes+2
00F49B8B	Fire Winged Knight Twinaxes+3
00F49B8C	Fire Winged Knight Twinaxes+4
00F49B8D	Fire Winged Knight Twinaxes+5
00F49B8E	Fire Winged Knight Twinaxes+6
00F49B8F	Fire Winged Knight Twinaxes+7
00F49B90	Fire Winged Knight Twinaxes+8
00F49B91	Fire Winged Knight Twinaxes+9
00F49B92	Fire Winged Knight Twinaxes+10
00F49BEC	Chaos Winged Knight Twinaxes
00F49BED	Chaos Winged Knight Twinaxes+1
00F49BEE	Chaos Winged Knight Twinaxes+2
00F49BEF	Chaos Winged Knight Twinaxes+3
00F49BF0	Chaos Winged Knight Twinaxes+4
00F49BF1	Chaos Winged Knight Twinaxes+5
00F49BF2	Chaos Winged Knight Twinaxes+6
00F49BF3	Chaos Winged Knight Twinaxes+7
00F49BF4	Chaos Winged Knight Twinaxes+8
00F49BF5	Chaos Winged Knight Twinaxes+9
00F49BF6	Chaos Winged Knight Twinaxes+10
00F49C50	Lightning Winged Knight Twinaxes
00F49C51	Lightning Winged Knight Twinaxes+1
00F49C52	Lightning Winged Knight Twinaxes+2
00F49C53	Lightning Winged Knight Twinaxes+3
00F49C54	Lightning Winged Knight Twinaxes+4
00F49C55	Lightning Winged Knight Twinaxes+5
00F49C56	Lightning Winged Knight Twinaxes+6
00F49C57	Lightning Winged Knight Twinaxes+7
00F49C58	Lightning Winged Knight Twinaxes+8
00F49C59	Lightning Winged Knight Twinaxes+9
00F49C5A	Lightning Winged Knight Twinaxes+10
00F49CB4	Deep Winged Knight Twinaxes
00F49CB5	Deep Winged Knight Twinaxes+1
00F49CB6	Deep Winged Knight Twinaxes+2
00F49CB7	Deep Winged Knight Twinaxes+3
00F49CB8	Deep Winged Knight Twinaxes+4
00F49CB9	Deep Winged Knight Twinaxes+5
00F49CBA	Deep Winged Knight Twinaxes+6
00F49CBB	Deep Winged Knight Twinaxes+7
00F49CBC	Deep Winged Knight Twinaxes+8
00F49CBD	Deep Winged Knight Twinaxes+9
00F49CBE	Deep Winged Knight Twinaxes+10
00F49D18	Dark Winged Knight Twinaxes
00F49D19	Dark Winged Knight Twinaxes+1
00F49D1A	Dark Winged Knight Twinaxes+2
00F49D1B	Dark Winged Knight Twinaxes+3
00F49D1C	Dark Winged Knight Twinaxes+4
00F49D1D	Dark Winged Knight Twinaxes+5
00F49D1E	Dark Winged Knight Twinaxes+6
00F49D1F	Dark Winged Knight Twinaxes+7
00F49D20	Dark Winged Knight Twinaxes+8
00F49D21	Dark Winged Knight Twinaxes+9
00F49D22	Dark Winged Knight Twinaxes+10
00F49D7C	Poison Winged Knight Twinaxes
00F49D7D	Poison Winged Knight Twinaxes+1
00F49D7E	Poison Winged Knight Twinaxes+2
00F49D7F	Poison Winged Knight Twinaxes+3
00F49D80	Poison Winged Knight Twinaxes+4
00F49D81	Poison Winged Knight Twinaxes+5
00F49D82	Poison Winged Knight Twinaxes+6
00F49D83	Poison Winged Knight Twinaxes+7
00F49D84	Poison Winged Knight Twinaxes+8
00F49D85	Poison Winged Knight Twinaxes+9
00F49D86	Poison Winged Knight Twinaxes+10
00F49DE0	Blood Winged Knight Twinaxes
00F49DE1	Blood Winged Knight Twinaxes+1
00F49DE2	Blood Winged Knight Twinaxes+2
00F49DE3	Blood Winged Knight Twinaxes+3
00F49DE4	Blood Winged Knight Twinaxes+4
00F49DE5	Blood Winged Knight Twinaxes+5
00F49DE6	Blood Winged Knight Twinaxes+6
00F49DE7	Blood Winged Knight Twinaxes+7
00F49DE8	Blood Winged Knight Twinaxes+8
00F49DE9	Blood Winged Knight Twinaxes+9
00F49DEA	Blood Winged Knight Twinaxes+10
00F49E44	Raw Winged Knight Twinaxes
00F49E45	Raw Winged Knight Twinaxes+1
00F49E46	Raw Winged Knight Twinaxes+2
00F49E47	Raw Winged Knight Twinaxes+3
00F49E48	Raw Winged Knight Twinaxes+4
00F49E49	Raw Winged Knight Twinaxes+5
00F49E4A	Raw Winged Knight Twinaxes+6
00F49E4B	Raw Winged Knight Twinaxes+7
00F49E4C	Raw Winged Knight Twinaxes+8
00F49E4D	Raw Winged Knight Twinaxes+9
00F49E4E	Raw Winged Knight Twinaxes+10
00F49EA8	Blessed Winged Knight Twinaxes
00F49EA9	Blessed Winged Knight Twinaxes+1
00F49EAA	Blessed Winged Knight Twinaxes+2
00F49EAB	Blessed Winged Knight Twinaxes+3
00F49EAC	Blessed Winged Knight Twinaxes+4
00F49EAD	Blessed Winged Knight Twinaxes+5
00F49EAE	Blessed Winged Knight Twinaxes+6
00F49EAF	Blessed Winged Knight Twinaxes+7
00F49EB0	Blessed Winged Knight Twinaxes+8
00F49EB1	Blessed Winged Knight Twinaxes+9
00F49EB2	Blessed Winged Knight Twinaxes+10
00F49F0C	Hollow Winged Knight Twinaxes
00F49F0D	Hollow Winged Knight Twinaxes+1
00F49F0E	Hollow Winged Knight Twinaxes+2
00F49F0F	Hollow Winged Knight Twinaxes+3
00F49F10	Hollow Winged Knight Twinaxes+4
00F49F11	Hollow Winged Knight Twinaxes+5
00F49F12	Hollow Winged Knight Twinaxes+6
00F49F13	Hollow Winged Knight Twinaxes+7
00F49F14	Hollow Winged Knight Twinaxes+8
00F49F15	Hollow Winged Knight Twinaxes+9
00F49F16	Hollow Winged Knight Twinaxes+10
00F4C040	Dancer's Enchanted Swords
00F4C041	Dancer's Enchanted Swords+1
00F4C042	Dancer's Enchanted Swords+2
00F4C043	Dancer's Enchanted Swords+3
00F4C044	Dancer's Enchanted Swords+4
00F4C045	Dancer's Enchanted Swords+5
00F4C046	Dancer's Enchanted Swords+6
00F4C047	Dancer's Enchanted Swords+7
00F4C048	Dancer's Enchanted Swords+8
00F4C049	Dancer's Enchanted Swords+9
00F4C04A	Dancer's Enchanted Swords+10
00F4E750	Great Machete
00F4E751	Great Machete+1
00F4E752	Great Machete+2
00F4E753	Great Machete+3
00F4E754	Great Machete+4
00F4E755	Great Machete+5
00F4E756	Great Machete+6
00F4E757	Great Machete+7
00F4E758	Great Machete+8
00F4E759	Great Machete+9
00F4E75A	Great Machete+10
00F4E7B4	Heavy Great Machete
00F4E7B5	Heavy Great Machete+1
00F4E7B6	Heavy Great Machete+2
00F4E7B7	Heavy Great Machete+3
00F4E7B8	Heavy Great Machete+4
00F4E7B9	Heavy Great Machete+5
00F4E7BA	Heavy Great Machete+6
00F4E7BB	Heavy Great Machete+7
00F4E7BC	Heavy Great Machete+8
00F4E7BD	Heavy Great Machete+9
00F4E7BE	Heavy Great Machete+10
00F4E818	Sharp Great Machete
00F4E819	Sharp Great Machete+1
00F4E81A	Sharp Great Machete+2
00F4E81B	Sharp Great Machete+3
00F4E81C	Sharp Great Machete+4
00F4E81D	Sharp Great Machete+5
00F4E81E	Sharp Great Machete+6
00F4E81F	Sharp Great Machete+7
00F4E820	Sharp Great Machete+8
00F4E821	Sharp Great Machete+9
00F4E822	Sharp Great Machete+10
00F4E87C	Refined Great Machete
00F4E87D	Refined Great Machete+1
00F4E87E	Refined Great Machete+2
00F4E87F	Refined Great Machete+3
00F4E880	Refined Great Machete+4
00F4E881	Refined Great Machete+5
00F4E882	Refined Great Machete+6
00F4E883	Refined Great Machete+7
00F4E884	Refined Great Machete+8
00F4E885	Refined Great Machete+9
00F4E886	Refined Great Machete+10
00F4E8E0	Simple Great Machete
00F4E8E1	Simple Great Machete+1
00F4E8E2	Simple Great Machete+2
00F4E8E3	Simple Great Machete+3
00F4E8E4	Simple Great Machete+4
00F4E8E5	Simple Great Machete+5
00F4E8E6	Simple Great Machete+6
00F4E8E7	Simple Great Machete+7
00F4E8E8	Simple Great Machete+8
00F4E8E9	Simple Great Machete+9
00F4E8EA	Simple Great Machete+10
00F4E944	Crystal Great Machete
00F4E945	Crystal Great Machete+1
00F4E946	Crystal Great Machete+2
00F4E947	Crystal Great Machete+3
00F4E948	Crystal Great Machete+4
00F4E949	Crystal Great Machete+5
00F4E94A	Crystal Great Machete+6
00F4E94B	Crystal Great Machete+7
00F4E94C	Crystal Great Machete+8
00F4E94D	Crystal Great Machete+9
00F4E94E	Crystal Great Machete+10
00F4E9A8	Fire Great Machete
00F4E9A9	Fire Great Machete+1
00F4E9AA	Fire Great Machete+2
00F4E9AB	Fire Great Machete+3
00F4E9AC	Fire Great Machete+4
00F4E9AD	Fire Great Machete+5
00F4E9AE	Fire Great Machete+6
00F4E9AF	Fire Great Machete+7
00F4E9B0	Fire Great Machete+8
00F4E9B1	Fire Great Machete+9
00F4E9B2	Fire Great Machete+10
00F4EA0C	Chaos Great Machete
00F4EA0D	Chaos Great Machete+1
00F4EA0E	Chaos Great Machete+2
00F4EA0F	Chaos Great Machete+3
00F4EA10	Chaos Great Machete+4
00F4EA11	Chaos Great Machete+5
00F4EA12	Chaos Great Machete+6
00F4EA13	Chaos Great Machete+7
00F4EA14	Chaos Great Machete+8
00F4EA15	Chaos Great Machete+9
00F4EA16	Chaos Great Machete+10
00F4EA70	Lightning Great Machete
00F4EA71	Lightning Great Machete+1
00F4EA72	Lightning Great Machete+2
00F4EA73	Lightning Great Machete+3
00F4EA74	Lightning Great Machete+4
00F4EA75	Lightning Great Machete+5
00F4EA76	Lightning Great Machete+6
00F4EA77	Lightning Great Machete+7
00F4EA78	Lightning Great Machete+8
00F4EA79	Lightning Great Machete+9
00F4EA7A	Lightning Great Machete+10
00F4EAD4	Deep Great Machete
00F4EAD5	Deep Great Machete+1
00F4EAD6	Deep Great Machete+2
00F4EAD7	Deep Great Machete+3
00F4EAD8	Deep Great Machete+4
00F4EAD9	Deep Great Machete+5
00F4EADA	Deep Great Machete+6
00F4EADB	Deep Great Machete+7
00F4EADC	Deep Great Machete+8
00F4EADD	Deep Great Machete+9
00F4EADE	Deep Great Machete+10
00F4EB38	Dark Great Machete
00F4EB39	Dark Great Machete+1
00F4EB3A	Dark Great Machete+2
00F4EB3B	Dark Great Machete+3
00F4EB3C	Dark Great Machete+4
00F4EB3D	Dark Great Machete+5
00F4EB3E	Dark Great Machete+6
00F4EB3F	Dark Great Machete+7
00F4EB40	Dark Great Machete+8
00F4EB41	Dark Great Machete+9
00F4EB42	Dark Great Machete+10
00F4EB9C	Poison Great Machete
00F4EB9D	Poison Great Machete+1
00F4EB9E	Poison Great Machete+2
00F4EB9F	Poison Great Machete+3
00F4EBA0	Poison Great Machete+4
00F4EBA1	Poison Great Machete+5
00F4EBA2	Poison Great Machete+6
00F4EBA3	Poison Great Machete+7
00F4EBA4	Poison Great Machete+8
00F4EBA5	Poison Great Machete+9
00F4EBA6	Poison Great Machete+10
00F4EC00	Blood Great Machete
00F4EC01	Blood Great Machete+1
00F4EC02	Blood Great Machete+2
00F4EC03	Blood Great Machete+3
00F4EC04	Blood Great Machete+4
00F4EC05	Blood Great Machete+5
00F4EC06	Blood Great Machete+6
00F4EC07	Blood Great Machete+7
00F4EC08	Blood Great Machete+8
00F4EC09	Blood Great Machete+9
00F4EC0A	Blood Great Machete+10
00F4EC64	Raw Great Machete
00F4EC65	Raw Great Machete+1
00F4EC66	Raw Great Machete+2
00F4EC67	Raw Great Machete+3
00F4EC68	Raw Great Machete+4
00F4EC69	Raw Great Machete+5
00F4EC6A	Raw Great Machete+6
00F4EC6B	Raw Great Machete+7
00F4EC6C	Raw Great Machete+8
00F4EC6D	Raw Great Machete+9
00F4EC6E	Raw Great Machete+10
00F4ECC8	Blessed Great Machete
00F4ECC9	Blessed Great Machete+1
00F4ECCA	Blessed Great Machete+2
00F4ECCB	Blessed Great Machete+3
00F4ECCC	Blessed Great Machete+4
00F4ECCD	Blessed Great Machete+5
00F4ECCE	Blessed Great Machete+6
00F4ECCF	Blessed Great Machete+7
00F4ECD0	Blessed Great Machete+8
00F4ECD1	Blessed Great Machete+9
00F4ECD2	Blessed Great Machete+10
00F4ED2C	Hollow Great Machete
00F4ED2D	Hollow Great Machete+1
00F4ED2E	Hollow Great Machete+2
00F4ED2F	Hollow Great Machete+3
00F4ED30	Hollow Great Machete+4
00F4ED31	Hollow Great Machete+5
00F4ED32	Hollow Great Machete+6
00F4ED33	Hollow Great Machete+7
00F4ED34	Hollow Great Machete+8
00F4ED35	Hollow Great Machete+9
00F4ED36	Hollow Great Machete+10
00F50E60	Brigand Twindaggers
00F50E61	Brigand Twindaggers+1
00F50E62	Brigand Twindaggers+2
00F50E63	Brigand Twindaggers+3
00F50E64	Brigand Twindaggers+4
00F50E65	Brigand Twindaggers+5
00F50E66	Brigand Twindaggers+6
00F50E67	Brigand Twindaggers+7
00F50E68	Brigand Twindaggers+8
00F50E69	Brigand Twindaggers+9
00F50E6A	Brigand Twindaggers+10
00F50EC4	Heavy Brigand Twindaggers
00F50EC5	Heavy Brigand Twindaggers+1
00F50EC6	Heavy Brigand Twindaggers+2
00F50EC7	Heavy Brigand Twindaggers+3
00F50EC8	Heavy Brigand Twindaggers+4
00F50EC9	Heavy Brigand Twindaggers+5
00F50ECA	Heavy Brigand Twindaggers+6
00F50ECB	Heavy Brigand Twindaggers+7
00F50ECC	Heavy Brigand Twindaggers+8
00F50ECD	Heavy Brigand Twindaggers+9
00F50ECE	Heavy Brigand Twindaggers+10
00F50F28	Sharp Brigand Twindaggers
00F50F29	Sharp Brigand Twindaggers+1
00F50F2A	Sharp Brigand Twindaggers+2
00F50F2B	Sharp Brigand Twindaggers+3
00F50F2C	Sharp Brigand Twindaggers+4
00F50F2D	Sharp Brigand Twindaggers+5
00F50F2E	Sharp Brigand Twindaggers+6
00F50F2F	Sharp Brigand Twindaggers+7
00F50F30	Sharp Brigand Twindaggers+8
00F50F31	Sharp Brigand Twindaggers+9
00F50F32	Sharp Brigand Twindaggers+10
00F50F8C	Refined Brigand Twindaggers
00F50F8D	Refined Brigand Twindaggers+1
00F50F8E	Refined Brigand Twindaggers+2
00F50F8F	Refined Brigand Twindaggers+3
00F50F90	Refined Brigand Twindaggers+4
00F50F91	Refined Brigand Twindaggers+5
00F50F92	Refined Brigand Twindaggers+6
00F50F93	Refined Brigand Twindaggers+7
00F50F94	Refined Brigand Twindaggers+8
00F50F95	Refined Brigand Twindaggers+9
00F50F96	Refined Brigand Twindaggers+10
00F50FF0	Simple Brigand Twindaggers
00F50FF1	Simple Brigand Twindaggers+1
00F50FF2	Simple Brigand Twindaggers+2
00F50FF3	Simple Brigand Twindaggers+3
00F50FF4	Simple Brigand Twindaggers+4
00F50FF5	Simple Brigand Twindaggers+5
00F50FF6	Simple Brigand Twindaggers+6
00F50FF7	Simple Brigand Twindaggers+7
00F50FF8	Simple Brigand Twindaggers+8
00F50FF9	Simple Brigand Twindaggers+9
00F50FFA	Simple Brigand Twindaggers+10
00F51054	Crystal Brigand Twindaggers
00F51055	Crystal Brigand Twindaggers+1
00F51056	Crystal Brigand Twindaggers+2
00F51057	Crystal Brigand Twindaggers+3
00F51058	Crystal Brigand Twindaggers+4
00F51059	Crystal Brigand Twindaggers+5
00F5105A	Crystal Brigand Twindaggers+6
00F5105B	Crystal Brigand Twindaggers+7
00F5105C	Crystal Brigand Twindaggers+8
00F5105D	Crystal Brigand Twindaggers+9
00F5105E	Crystal Brigand Twindaggers+10
00F510B8	Fire Brigand Twindaggers
00F510B9	Fire Brigand Twindaggers+1
00F510BA	Fire Brigand Twindaggers+2
00F510BB	Fire Brigand Twindaggers+3
00F510BC	Fire Brigand Twindaggers+4
00F510BD	Fire Brigand Twindaggers+5
00F510BE	Fire Brigand Twindaggers+6
00F510BF	Fire Brigand Twindaggers+7
00F510C0	Fire Brigand Twindaggers+8
00F510C1	Fire Brigand Twindaggers+9
00F510C2	Fire Brigand Twindaggers+10
00F5111C	Chaos Brigand Twindaggers
00F5111D	Chaos Brigand Twindaggers+1
00F5111E	Chaos Brigand Twindaggers+2
00F5111F	Chaos Brigand Twindaggers+3
00F51120	Chaos Brigand Twindaggers+4
00F51121	Chaos Brigand Twindaggers+5
00F51122	Chaos Brigand Twindaggers+6
00F51123	Chaos Brigand Twindaggers+7
00F51124	Chaos Brigand Twindaggers+8
00F51125	Chaos Brigand Twindaggers+9
00F51126	Chaos Brigand Twindaggers+10
00F51180	Lightning Brigand Twindaggers
00F51181	Lightning Brigand Twindaggers+1
00F51182	Lightning Brigand Twindaggers+2
00F51183	Lightning Brigand Twindaggers+3
00F51184	Lightning Brigand Twindaggers+4
00F51185	Lightning Brigand Twindaggers+5
00F51186	Lightning Brigand Twindaggers+6
00F51187	Lightning Brigand Twindaggers+7
00F51188	Lightning Brigand Twindaggers+8
00F51189	Lightning Brigand Twindaggers+9
00F5118A	Lightning Brigand Twindaggers+10
00F511E4	Deep Brigand Twindaggers
00F511E5	Deep Brigand Twindaggers+1
00F511E6	Deep Brigand Twindaggers+2
00F511E7	Deep Brigand Twindaggers+3
00F511E8	Deep Brigand Twindaggers+4
00F511E9	Deep Brigand Twindaggers+5
00F511EA	Deep Brigand Twindaggers+6
00F511EB	Deep Brigand Twindaggers+7
00F511EC	Deep Brigand Twindaggers+8
00F511ED	Deep Brigand Twindaggers+9
00F511EE	Deep Brigand Twindaggers+10
00F51248	Dark Brigand Twindaggers
00F51249	Dark Brigand Twindaggers+1
00F5124A	Dark Brigand Twindaggers+2
00F5124B	Dark Brigand Twindaggers+3
00F5124C	Dark Brigand Twindaggers+4
00F5124D	Dark Brigand Twindaggers+5
00F5124E	Dark Brigand Twindaggers+6
00F5124F	Dark Brigand Twindaggers+7
00F51250	Dark Brigand Twindaggers+8
00F51251	Dark Brigand Twindaggers+9
00F51252	Dark Brigand Twindaggers+10
00F512AC	Poison Brigand Twindaggers
00F512AD	Poison Brigand Twindaggers+1
00F512AE	Poison Brigand Twindaggers+2
00F512AF	Poison Brigand Twindaggers+3
00F512B0	Poison Brigand Twindaggers+4
00F512B1	Poison Brigand Twindaggers+5
00F512B2	Poison Brigand Twindaggers+6
00F512B3	Poison Brigand Twindaggers+7
00F512B4	Poison Brigand Twindaggers+8
00F512B5	Poison Brigand Twindaggers+9
00F512B6	Poison Brigand Twindaggers+10
00F51310	Blood Brigand Twindaggers
00F51311	Blood Brigand Twindaggers+1
00F51312	Blood Brigand Twindaggers+2
00F51313	Blood Brigand Twindaggers+3
00F51314	Blood Brigand Twindaggers+4
00F51315	Blood Brigand Twindaggers+5
00F51316	Blood Brigand Twindaggers+6
00F51317	Blood Brigand Twindaggers+7
00F51318	Blood Brigand Twindaggers+8
00F51319	Blood Brigand Twindaggers+9
00F5131A	Blood Brigand Twindaggers+10
00F51374	Raw Brigand Twindaggers
00F51375	Raw Brigand Twindaggers+1
00F51376	Raw Brigand Twindaggers+2
00F51377	Raw Brigand Twindaggers+3
00F51378	Raw Brigand Twindaggers+4
00F51379	Raw Brigand Twindaggers+5
00F5137A	Raw Brigand Twindaggers+6
00F5137B	Raw Brigand Twindaggers+7
00F5137C	Raw Brigand Twindaggers+8
00F5137D	Raw Brigand Twindaggers+9
00F5137E	Raw Brigand Twindaggers+10
00F513D8	Blessed Brigand Twindaggers
00F513D9	Blessed Brigand Twindaggers+1
00F513DA	Blessed Brigand Twindaggers+2
00F513DB	Blessed Brigand Twindaggers+3
00F513DC	Blessed Brigand Twindaggers+4
00F513DD	Blessed Brigand Twindaggers+5
00F513DE	Blessed Brigand Twindaggers+6
00F513DF	Blessed Brigand Twindaggers+7
00F513E0	Blessed Brigand Twindaggers+8
00F513E1	Blessed Brigand Twindaggers+9
